business_id,date,daily_revenue,daily_expense,net_cash_flow,gst_compliance_score,utility_payment_consistency,ecommerce_return_rate,social_sentiment_score
BIZ001,2025-09-01,1200,800,400,0.95,0.98,0.02,0.4
BIZ001,2025-09-02,1150,820,330,0.95,0.98,0.02,0.3
BIZ001,2025-09-03,1300,780,520,0.95,0.98,0.02,0.45
BIZ001,2025-09-04,5000,1000,4000,0.95,0.98,0.02,0.8
BIZ001,2025-09-05,1100,900,200,0.95,0.98,0.02,0.35
BIZ002,2025-09-01,300,500,-200,0.6,0.5,0.12,-0.2
BIZ002,2025-09-02,280,480,-200,0.6,0.5,0.12,-0.15
BIZ002,2025-09-03,320,470,-150,0.6,0.5,0.12,-0.1
BIZ002,2025-09-04,350,490,-140,0.6,0.5,0.12,-0.05
BIZ002,2025-09-05,310,480,-170,0.6,0.5,0.12,-0.18
BIZ003,2025-09-01,2500,2000,500,0.8,0.7,0.05,0.2
BIZ003,2025-09-02,2600,1950,650,0.8,0.7,0.05,0.25
BIZ003,2025-09-03,2400,2050,350,0.8,0.7,0.05,0.15
BIZ003,2025-09-04,2550,1980,570,0.8,0.7,0.05,0.22
BIZ003,2025-09-05,2450,2000,450,0.8,0.7,0.05,0.18
BIZ004,2025-09-01,800,700,100,0.4,0.3,0.18,-0.4
BIZ004,2025-09-02,750,720,30,0.4,0.3,0.18,-0.35
BIZ004,2025-09-03,700,740,-40,0.4,0.3,0.18,-0.45
BIZ004,2025-09-04,780,710,70,0.4,0.3,0.18,-0.38
BIZ004,2025-09-05,770,700,70,0.4,0.3,0.18,-0.36
BIZ005,2025-09-01,6000,2500,3500,0.98,0.95,0.01,0.6
BIZ005,2025-09-02,6100,2600,3500,0.98,0.95,0.01,0.65
BIZ005,2025-09-03,5900,2400,3500,0.98,0.95,0.01,0.62
BIZ005,2025-09-04,6050,2550,3500,0.98,0.95,0.01,0.67
BIZ005,2025-09-05,6000,2500,3500,0.98,0.95,0.01,0.63
BIZ006,2025-09-01,900,600,300,0.85,0.80,0.03,0.1
BIZ006,2025-09-02,920,610,310,0.85,0.80,0.03,0.12
BIZ006,2025-09-03,880,590,290,0.85,0.80,0.03,0.08

BIZ007,2025-09-01,450,420,30,0.55,0.60,0.10,-0.1
BIZ007,2025-09-02,470,430,40,0.55,0.60,0.10,-0.08
BIZ007,2025-09-03,460,425,35,0.55,0.60,0.10,-0.12

BIZ008,2025-09-01,1800,1200,600,0.9,0.88,0.02,0.3
BIZ008,2025-09-02,1750,1180,570,0.9,0.88,0.02,0.28
BIZ008,2025-09-03,1850,1220,630,0.9,0.88,0.02,0.32

BIZ009,2025-09-01,400,700,-300,0.3,0.25,0.20,-0.5
BIZ009,2025-09-02,420,710,-290,0.3,0.25,0.20,-0.45
BIZ009,2025-09-03,380,690,-310,0.3,0.25,0.20,-0.52

BIZ010,2025-09-01,3200,1500,1700,0.88,0.9,0.04,0.45
BIZ010,2025-09-02,3300,1520,1780,0.88,0.9,0.04,0.5
BIZ010,2025-09-03,3100,1480,1620,0.88,0.9,0.04,0.42

BIZ011,2025-09-01,1400,900,500,0.78,0.7,0.06,0.05
BIZ011,2025-09-02,1350,920,430,0.78,0.7,0.06,0.02
BIZ011,2025-09-03,1420,910,510,0.78,0.7,0.06,0.07

BIZ012,2025-09-01,2100,1900,200,0.65,0.6,0.08,-0.02
BIZ012,2025-09-02,2200,1950,250,0.65,0.6,0.08,0.0
BIZ012,2025-09-03,2050,1880,170,0.65,0.6,0.08,-0.03

BIZ013,2025-09-01,75,120,-45,0.2,0.1,0.25,-0.6
BIZ013,2025-09-02,80,125,-45,0.2,0.1,0.25,-0.58
BIZ013,2025-09-03,70,115,-45,0.2,0.1,0.25,-0.62

BIZ014,2025-09-01,4800,3000,1800,0.92,0.9,0.02,0.55
BIZ014,2025-09-02,4700,3050,1650,0.92,0.9,0.02,0.5
BIZ014,2025-09-03,4900,2950,1950,0.92,0.9,0.02,0.58

BIZ015,2025-09-01,1000,700,300,0.7,0.65,0.09,0.0
BIZ015,2025-09-02,980,720,260,0.7,0.65,0.09,-0.02
BIZ015,2025-09-03,1020,690,330,0.7,0.65,0.09,0.03
